1	3176	15910.0	219.0
2	19338	24151.0	18919.0
3	19230	20556.0	18259.0
4	19741	6652.0	6168.0
5	5913	15723.0	5013.0
6	14435	12100.0	8708.0
7	10334	11864.0	10194.0
8	5269	13175.0	5237.0
9	14753	15674.0	8429.0
10	17263	19492.0	17051.0
11	12859	17371.0	11343.0
12	19086	20532.0	18011.0
13	12731	15830.0	12039.0
14	1223	19446.0	589.0
15	18995	28003.0	18476.0
16	11971	18279.0	10184.0
17	18237	19057.0	16307.0
18	14595	16251.0	13644.0
19	6692	4069.0	2586.0
20	11451	15638.0	10188.0
21	16389	20840.0	15472.0
22	5294	17714.0	4960.0
23	4355	11660.0	3674.0
24	12801	21587.0	12613.0
25	13459	23142.0	12602.0
26	5128	18175.0	5029.0
27	19990	17437.0	16729.0
28	20573	19216.0	17417.0
29	23563	27818.0	23323.0
30	9576	15927.0	9389.0
31	3679	5207.0	3601.0
32	7491	12532.0	5331.0
33	14785	11496.0	7843.0
34	20175	19890.0	14559.0
35	14037	17128.0	13724.0
36	10994	20045.0	10913.0
37	27143	29089.0	26667.0
38	23032	24243.0	22586.0
39	20585	25853.0	19814.0
40	24405	28811.0	23716.0
41	28916	18872.0	16282.0
42	16871	29814.0	15998.0
43	17474	19026.0	14978.0
44	17685	11361.0	5349.0
45	26096	29280.0	24256.0
46	22274	16051.0	11906.0
47	25643	25054.0	23793.0
48	14760	13817.0	11720.0
49	4452	8665.0	3685.0
50	17672	22045.0	16006.0
51	16602	33960.0	15935.0
52	13264	42367.0	13122.0
53	7202	7540.0	5457.0
54	9822	6980.0	5723.0
55	18410	6509.0	5719.0
56	944	145.0	0.0
57	47	3324.0	1.0
58	18304	12200.0	8495.0
59	4544	4189.0	2436.0
60	892	3782.0	697.0
61	6197	9994.0	4344.0
62	2149	0.0	0.0
63	3063	13661.0	2180.0
64	12089	14238.0	11034.0
65	9999	12517.0	5794.0
66	9025	8353.0	5221.0
67	24970	19859.0	19821.0
68	0	837.0	0.0
69	19373	16368.0	15979.0
70	4753	8653.0	3454.0
71	4302	9018.0	2643.0
72	10187	11661.0	9280.0
73	1543	4737.0	1411.0
74	5758	9303.0	2358.0
75	998	1442.0	22.0
76	9010	9896.0	7844.0
77	1428	17695.0	974.0
78	3248	0.0	0.0
79	10075	8244.0	7443.0
80	12970	3799.0	3740.0
81	6610	12964.0	6209.0
82	13659	18164.0	11464.0
83	9789	12494.0	9763.0
84	12661	13127.0	11788.0
85	11606	15936.0	10578.0
86	3961	5374.0	3550.0
87	1418	1098.0	911.0
88	15025	14785.0	11258.0
89	30	0.0	0.0
90	1112	0.0	0.0
91	13484	3647.0	3446.0
92	9050	837.0	300.0
93	7984	6284.0	2928.0
94	10907	12550.0	5687.0
95	17397	12342.0	10242.0
96	9	0.0	0.0
97	0	0.0	0.0
98	0	0.0	0.0
99	5	0.0	0.0
100	0	0.0	0.0
101	0	0.0	0.0
102	5456	18934.0	4469.0
103	0	4581.0	0.0
104	0	12443.0	0.0
105	0	3741.0	0.0
106	0	2471.0	0.0
107	1	2314.0	0.0
108	0	5946.0	0.0
109	18081	16631.0	13643.0
110	3519	10683.0	3352.0
111	0	4289.0	0.0
112	25420	19755.0	17529.0
113	11447	10676.0	9638.0
114	0	12319.0	0.0
115	0	23503.0	0.0
116	4893	6121.0	4029.0
117	0	0.0	0.0
118	8144	10495.0	7839.0
119	10521	13356.0	8689.0
120	15880	14266.0	10425.0
121	0	8956.0	0.0
122	0	8792.0	0.0
123	0	3216.0	0.0
124	0	42977.0	0.0
125	16445	15008.0	12165.0
126	1737	928.0	793.0
127	14570	16578.0	12246.0
128	2483	11845.0	2422.0
129	16187	13981.0	11214.0
130	0	0.0	0.0
131	4015	2375.0	1151.0
132	7364	12518.0	6942.0
133	11510	23724.0	10579.0
134	924	4502.0	770.0
135	11449	27627.0	11388.0
136	14169	12554.0	10124.0
137	14975	21438.0	13616.0
138	10126	19816.0	10046.0
139	12276	12286.0	0.0
140	3982	21891.0	2995.0
141	970	6356.0	234.0
142	170	0.0	0.0
143	3539	10775.0	3539.0
144	6369	0.0	0.0
145	1649	8426.0	1373.0
146	16855	19912.0	15103.0
147	3651	4230.0	2784.0
148	10230	18650.0	9895.0
149	91	8274.0	0.0
150	16644	20650.0	16026.0
151	11611	34228.0	11254.0
152	19131	31976.0	19052.0
153	23674	34902.0	23097.0
154	8533	17737.0	7404.0
155	17607	31868.0	17328.0
156	1045	14870.0	1039.0
157	4582	4353.0	11.0
158	3727	22032.0	2879.0
159	8319	15327.0	7996.0
160	237	12716.0	212.0
161	31	9795.0	31.0
162	25392	24675.0	22384.0
163	23509	26862.0	21298.0
164	16529	14738.0	13548.0
165	3536	3596.0	2328.0
166	22570	17351.0	16515.0
167	18621	21688.0	16675.0
168	14293	8801.0	7709.0
169	11368	11030.0	9395.0
170	18291	11947.0	10886.0
171	26916	30085.0	26265.0
172	17150	17222.0	15776.0
173	0	0.0	0.0
174	2332	0.0	0.0
175	22360	18697.0	17756.0
176	11629	9990.0	8627.0
177	13026	11498.0	9280.0
178	15627	11596.0	11298.0
179	12537	13025.0	11050.0
180	9689	8429.0	8028.0
181	12502	10468.0	9869.0
182	5409	4147.0	1687.0
183	14259	10094.0	9770.0
184	13913	11228.0	10400.0
185	7793	7091.0	6462.0
186	8299	9478.0	7120.0
187	18718	23941.0	15686.0
188	11669	10102.0	9602.0
189	12401	10549.0	9797.0
190	13407	22316.0	13097.0
191	2	0.0	0.0
192	4950	12181.0	3381.0
193	6135	8912.0	5951.0
