Edge TPU Compiler version 16.0.384591198
Input: voting_quant_double.tflite
Output: ./voting_quant_double_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        4          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            1          Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
FULLY_CONNECTED                4          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  2          More than one subgraph is not supported
MAX_POOL_2D                    2          More than one subgraph is not supported
ADD                            2          More than one subgraph is not supported
